Dataset,MLE,GeoMLE,MIND,DANCo,ESS,PCA,CD,Hein,Num,Dim,RealDim
0,Sphere,2.981437656286435,2.9992139994772122,3.0,3.0,4.020392274824901,4.0,2.972825527191162,3.0,1000.0,5.0,3.0
1,Sphere,4.816057074935232,4.920065817740108,5.0,6.0,5.897542043147074,6.0,4.715662956237793,5.0,1000.0,10.0,5.0
2,Sphere,9.04385593521168,10.068530108014677,9.0,11.0,11.104198954237855,11.0,9.646799087524414,10.0,1000.0,15.0,10.0
3,Sphere,20.277257952973596,30.740212305469687,21.0,30.0,30.930691185535878,31.0,21.97284507751465,23.0,1000.0,35.0,30.0
4,Sphere,28.631611607121705,48.635060976805434,30.0,50.0,50.68575630663848,51.0,32.64676284790039,32.0,1000.0,55.0,50.0
5,Sphere,35.64296250870003,66.8953113180757,37.0,69.0,71.35324746570963,71.0,39.893306732177734,40.0,1000.0,75.0,70.0
6,Affine_3to5,2.8333945709586676,3.1384882231522004,3.0,3.0,2.608898127071579,3.0,2.9855072498321533,3.0,1000.0,5.0,3.0
7,Affine,4.4470476162668415,5.0,5.0,5.0,4.965594159125608,5.0,5.101136684417725,5.0,1000.0,5.0,5.0
8,Affine,7.978506837159014,9.218039905814724,8.0,10.0,10.151945378091808,10.0,8.396295547485352,9.0,1000.0,10.0,10.0
9,Affine,14.067700827993542,19.03822723675955,14.0,19.0,19.874396138367214,20.0,14.637028694152832,15.0,1000.0,20.0,20.0
10,Nonlinear_4to6,3.792577838529079,3.9090885973868046,4.0,5.0,3.089085763874886,5.0,3.514899492263794,4.0,1000.0,6.0,4.0
11,Nonlinear,4.102360845929648,3.2402793315291416,4.0,6.0,7.859023524119961,8.0,3.8387680053710938,4.0,1000.0,8.0,4.0
12,Nonlinear,6.709361484268262,6.501161978520451,7.0,9.0,11.755616790805206,12.0,5.9428791999816895,6.0,1000.0,36.0,6.0
13,Nonlinear,9.413742943492561,10.532492289217119,9.0,10.0,16.10661857889132,16.0,7.763226509094238,8.0,1000.0,64.0,8.0
14,Nonlinear,13.698048762946739,17.55281388288729,14.0,19.0,24.143326340416447,24.0,12.278116226196289,12.0,1000.0,72.0,12.0
15,Spiral,1.76582064124097,1.6318469710533623,1.0,1.0,2.0736263439361524,2.0,0.9592717289924622,1.0,1000.0,3.0,1.0
16,Spiral,1.7765552190009757,1.4682338908712271,1.0,1.0,2.070046065341279,2.0,0.9522088766098022,1.0,1000.0,13.0,1.0
17,Helix1d,1.006328318792615,1.2392599475380026,1.0,1.0,2.601564393788946,3.0,0.9526258707046509,1.0,1000.0,3.0,1.0
18,Helix1d,1.0008221601832217,1.3906355017248222,1.0,1.0,2.602269391354828,3.0,1.0086501836776733,1.0,1000.0,13.0,1.0
19,Helix2d,2.7197852420128377,2.3146637460973434,3.0,3.0,2.58066618624152,3.0,2.0570790767669678,2.0,1000.0,3.0,2.0
20,Helix2d,2.7256499675263965,2.5191703006439004,3.0,3.0,2.5607828888358855,3.0,2.030599355697632,2.0,1000.0,13.0,2.0
21,Helicoid,2.0959637500837016,2.0931855600969596,2.0,2.0,1.8270341714136098,2.0,2.0337209701538086,2.0,1000.0,3.0,2.0
22,Helicoid,2.0464030454530104,2.07370560385006,2.0,2.0,1.8375268583964615,2.0,1.9874905347824097,2.0,1000.0,13.0,2.0
23,Roll,1.9234039082712984,2.2501529827303113,2.0,2.0,2.9598800804084795,3.0,1.8921186923980713,2.0,1000.0,3.0,2.0
24,Roll,1.9551473414311775,2.53928110688166,2.0,2.0,2.9407256995168245,3.0,1.9367952346801758,2.0,1000.0,13.0,2.0
25,Scurve,1.9225349373045304,1.961380293591898,2.0,2.0,2.327964690936229,3.0,2.0366973876953125,2.0,1000.0,3.0,2.0
26,Scurve,1.9586797311743909,1.9965073826864375,2.0,2.0,2.2004772342868906,3.0,2.003798484802246,2.0,1000.0,13.0,2.0
27,Moebius,1.9568784412285731,1.6501381705050269,2.0,2.0,2.310319778585387,3.0,1.8775014877319336,2.0,1000.0,3.0,2.0
28,Uniform,4.354840632583337,4.475792980634939,4.0,5.0,4.950309646647471,5.0,4.469630241394043,5.0,1000.0,10.0,5.0
