Dataset,MLE,GeoMLE,MIND,DANCo,ESS,PCA,CD,Hein,Num,Dim,RealDim
0,Sphere,2.980211254892797,3.0939619153509788,3.0,4.0,3.9845075916485984,4.0,3.117912530899048,3.0,1000.0,5.0,3.0
1,Sphere,4.7986761800129605,5.289236656996018,5.0,6.0,6.089154102306976,6.0,5.032463550567627,5.0,1000.0,10.0,5.0
2,Sphere,8.51771428581291,10.3749350666468,9.0,11.0,10.865251253776485,11.0,9.784615516662598,9.0,1000.0,15.0,10.0
3,Sphere,18.934982305243224,32.00278653170491,20.0,31.0,30.77033359955237,31.0,22.33601951599121,24.0,1000.0,35.0,30.0
4,Sphere,26.534196742031842,52.508376114395894,28.0,51.0,51.59602266236412,51.0,30.550050735473633,33.0,1000.0,55.0,50.0
5,Sphere,33.008916755566865,74.63016528387344,36.0,71.0,72.78032536337112,71.0,38.601749420166016,39.0,1000.0,75.0,70.0
6,Affine_3to5,2.744639826731148,3.059410895539337,3.0,3.0,2.548304535926289,3.0,2.7629354000091553,3.0,1000.0,5.0,3.0
7,Affine,4.307965220982856,5.0,4.0,5.0,4.92189813693663,5.0,4.647830963134766,5.0,1000.0,5.0,5.0
8,Affine,7.723584675216745,10.0,8.0,10.0,9.872522434260032,10.0,8.526653289794922,8.0,1000.0,10.0,10.0
9,Affine,13.516780002046788,20.0,14.0,19.0,20.143637066570736,20.0,14.731584548950195,15.0,1000.0,20.0,20.0
10,Nonlinear_4to6,3.660786926533637,4.13001685509766,4.0,4.0,3.03231492266865,5.0,3.6816110610961914,4.0,1000.0,6.0,4.0
11,Nonlinear,4.316760824810562,3.3983849689370844,4.0,5.0,7.819337735902087,8.0,3.950740098953247,4.0,1000.0,8.0,4.0
12,Nonlinear,6.884746372542834,6.603325439412745,7.0,8.0,11.941668006154588,12.0,5.918007850646973,6.0,1000.0,36.0,6.0
13,Nonlinear,9.250285023944086,11.240255269918178,9.0,11.0,15.900731204541959,16.0,8.26205825805664,8.0,1000.0,64.0,8.0
14,Nonlinear,12.885502058036334,16.970496352977555,13.0,18.0,23.446281926519777,24.0,12.912318229675293,13.0,1000.0,72.0,12.0
15,Spiral,1.75706143208954,1.6028229861538408,2.0,2.0,2.0730754836787093,2.0,1.0126488208770752,1.0,1000.0,3.0,1.0
16,Spiral,1.7146020208835404,1.5545543728694684,2.0,2.0,2.10499449038939,2.0,0.8834019303321838,1.0,1000.0,13.0,1.0
17,Helix1d,1.0924745830534575,1.0666902932663136,1.0,1.0,2.617065679191847,3.0,1.029479742050171,1.0,1000.0,3.0,1.0
18,Helix1d,1.0881936190324015,1.3280138206651444,1.0,1.0,2.6500311529003833,3.0,0.9543099403381348,1.0,1000.0,13.0,1.0
19,Helix2d,2.7677870969463,2.66564093207369,3.0,3.0,2.50910225901112,3.0,1.9367117881774902,2.0,1000.0,3.0,2.0
20,Helix2d,2.7986582363707395,2.7111036626643665,3.0,3.0,2.5381963642570553,3.0,2.087035655975342,2.0,1000.0,13.0,2.0
21,Helicoid,2.1461583651498923,2.2478825000767517,2.0,2.0,1.8548356584622891,2.0,1.9952571392059326,2.0,1000.0,3.0,2.0
22,Helicoid,2.1099638600810438,2.0931778892460966,2.0,2.0,1.8575524629583073,2.0,1.8641669750213623,2.0,1000.0,13.0,2.0
23,Roll,1.9541201650075106,2.0945233369140945,2.0,2.0,2.942310867383282,3.0,1.8896750211715698,2.0,1000.0,3.0,2.0
24,Roll,1.9488818903214546,2.075714525506818,2.0,2.0,2.938495152907397,3.0,1.9809834957122803,2.0,1000.0,13.0,2.0
25,Scurve,1.9164635520448725,2.059822664923068,2.0,2.0,2.1693100357008235,3.0,2.006927967071533,2.0,1000.0,3.0,2.0
26,Scurve,1.9171075575154677,1.992019245612868,2.0,2.0,2.215394719862675,3.0,1.8941099643707275,2.0,1000.0,13.0,2.0
