Dataset,MLE,GeoMLE,MIND,DANCo,ESS,PCA,CD,Hein,Num,Dim,RealDim
0,Sphere,2.9658029913435096,2.9942751239563195,3.0,3.0,3.9234220227500316,4.0,2.7383649349212646,3.0,1000.0,5.0,3.0
1,Sphere,4.649992163736543,4.588708295313299,5.0,6.0,5.8744954549592965,6.0,4.280256271362305,5.0,1000.0,10.0,5.0
2,Sphere,8.168119766184349,8.268423276493392,8.0,11.0,11.021198276916795,11.0,8.782669067382812,9.0,1000.0,15.0,10.0
3,Sphere,19.36738392816978,26.406475811763098,20.0,30.0,31.893584013295154,31.0,20.612667083740234,21.0,1000.0,35.0,30.0
4,Sphere,28.333053391870497,46.955321229488014,29.0,49.0,51.57965512152485,51.0,29.895282745361328,31.0,1000.0,55.0,50.0
5,Sphere,35.06823840438664,66.42941149739237,37.0,69.0,70.10999725245276,71.0,40.78301239013672,41.0,1000.0,75.0,70.0
6,Affine_3to5,3.0661043227854474,3.1547484522421216,3.0,3.0,2.5327030649842674,3.0,3.167365312576294,3.0,1000.0,5.0,3.0
7,Affine,4.972840149984336,5.0,5.0,5.0,4.9863298603869275,5.0,4.723347187042236,5.0,1000.0,5.0,5.0
8,Affine,8.981315987520126,10.0,9.0,10.0,10.210354821894224,10.0,8.13756275177002,9.0,1000.0,10.0,10.0
9,Affine,15.056524671453776,20.0,15.0,20.0,20.45147220382136,20.0,13.744416236877441,14.0,1000.0,20.0,20.0
10,Nonlinear_4to6,4.063037924251211,4.280303024839654,4.0,5.0,3.232883643269365,5.0,3.709861993789673,4.0,1000.0,6.0,4.0
11,Nonlinear,4.17153270018565,3.9516913401472795,4.0,5.0,7.211034701466111,8.0,3.977647066116333,4.0,1000.0,8.0,4.0
12,Nonlinear,6.332210645013337,6.509010761716799,6.0,8.0,10.901715292935519,12.0,5.638318061828613,6.0,1000.0,36.0,6.0
13,Nonlinear,8.479684165081306,9.25874860938152,8.0,10.0,14.033637936349567,16.0,7.599908351898193,8.0,1000.0,64.0,8.0
14,Nonlinear,12.37308020159902,14.982277477637071,13.0,15.0,21.51554171003064,24.0,11.206862449645996,12.0,1000.0,72.0,12.0
15,Spiral,1.737984850122452,1.9691943362445856,1.0,1.0,2.027077215161168,2.0,1.0033522844314575,1.0,1000.0,3.0,1.0
16,Spiral,1.7351672148778987,1.7844073853338396,1.0,1.0,2.077830860687742,2.0,0.9599760174751282,1.0,1000.0,13.0,1.0
17,Helix1d,1.037786501627034,1.208311886305701,1.0,1.0,2.734433351766109,3.0,1.0070050954818726,1.0,1000.0,3.0,1.0
18,Helix1d,1.0442255006695271,1.1488962400975447,1.0,1.0,2.6929152574744113,3.0,1.0347766876220703,1.0,1000.0,13.0,1.0
19,Helix2d,2.8337904111986565,3.0,3.0,3.0,2.329093579538895,3.0,2.0211405754089355,2.0,1000.0,3.0,2.0
20,Helix2d,2.8163518927086058,3.0338777082852646,2.0,3.0,2.3287312300461265,3.0,1.9595732688903809,2.0,1000.0,13.0,2.0
21,Helicoid,2.1035128154738065,2.056251297743179,2.0,2.0,2.252048200540489,3.0,2.1574044227600098,2.0,1000.0,3.0,2.0
22,Helicoid,2.0858061293240575,2.0779483712538185,2.0,2.0,2.215092971121606,3.0,2.01283597946167,2.0,1000.0,13.0,2.0
23,Roll,2.021952095755329,1.9228994418455532,2.0,2.0,2.779826025907719,3.0,1.9507354497909546,2.0,1000.0,3.0,2.0
24,Roll,2.049839975488909,2.195373224880566,2.0,2.0,2.760067083607,3.0,1.8770883083343506,2.0,1000.0,13.0,2.0
25,Scurve,2.016446392304498,2.04640735850655,2.0,2.0,1.954577304672984,3.0,1.9863978624343872,2.0,1000.0,3.0,2.0
26,Scurve,2.0015199212844097,2.0254587807745867,2.0,2.0,1.9845090372495062,3.0,1.9777183532714844,2.0,1000.0,13.0,2.0
27,Moebius,2.083028440218034,1.9231739536138084,2.0,2.0,2.080712449053478,2.0,2.0151240825653076,2.0,1000.0,3.0,2.0
28,Paraboloid,2.8166497226963103,2.947466098376333,3.0,3.0,1.8237646580209441,1.0,2.049680471420288,2.0,1000.0,12.0,3.0
29,Paraboloid,4.794693871262201,5.791393331507552,5.0,7.0,1.4912874748945812,1.0,2.9180872440338135,3.0,1000.0,21.0,6.0
30,Paraboloid,5.951078054730212,8.925959657661704,6.0,8.0,1.3031262472301162,1.0,3.095428466796875,3.0,1000.0,30.0,9.0
31,Paraboloid,6.496605234530625,11.614549802233713,7.0,8.0,1.224396276958854,1.0,3.1507813930511475,3.0,1000.0,39.0,12.0
32,Paraboloid,6.793192445240967,13.680685309618319,7.0,9.0,1.1592402436564573,1.0,3.076751708984375,3.0,1000.0,48.0,15.0
33,Cubic,3.0516984954841493,3.0708652262651084,3.0,4.0,3.993332998764866,4.0,2.7812812328338623,3.0,1000.0,5.0,3.0
34,Cubic,20.467943671528534,32.36913710022393,22.0,35.0,29.855002353799605,31.0,19.911529541015625,21.0,1000.0,35.0,30.0
