Dataset,MLE,GeoMLE,MIND,DANCo,ESS,PCA,CD,Hein,Num,Dim,RealDim
0,Sphere,2.9381381845952896,2.9627666486833952,3.0,4.0,4.012896279217354,4.0,3.085144281387329,3.0,100.0,5.0,3.0
1,Sphere,2.959517743802435,3.147328500458267,3.0,3.0,4.000646970913092,4.0,2.745720386505127,3.0,300.0,5.0,3.0
2,Sphere,2.9893017141229943,3.0696188812671727,3.0,3.0,3.9372338335294095,4.0,2.894767999649048,3.0,500.0,5.0,3.0
3,Sphere,2.960738661200078,2.935013291388972,3.0,3.0,3.9649884352699383,4.0,3.1864349842071533,3.0,700.0,5.0,3.0
4,Sphere,2.971456548775173,2.8996510984145325,3.0,3.0,4.060772413813041,4.0,2.982151508331299,3.0,900.0,5.0,3.0
5,Sphere,2.9603463734124964,2.8635019271817383,3.0,3.0,3.997784788024032,4.0,2.8959484100341797,3.0,1000.0,5.0,3.0
6,Sphere,2.978868215853278,2.924250889101307,3.0,3.0,4.105163006622232,4.0,2.872067451477051,3.0,1250.0,5.0,3.0
7,Sphere,2.9982153419727315,2.9312235289693405,3.0,3.0,3.977648837406269,4.0,2.888265371322632,3.0,1500.0,5.0,3.0
8,Sphere,2.990578249550514,2.9166502410333184,3.0,3.0,3.955480697358034,4.0,3.0001585483551025,3.0,1750.0,5.0,3.0
9,Sphere,3.000939423593505,2.940163119899623,3.0,3.0,4.0083424688068385,4.0,3.0689375400543213,3.0,2000.0,5.0,3.0
10,Sphere,2.9921636534943703,2.920082947559086,3.0,3.0,4.020690352902071,4.0,2.8763067722320557,3.0,2500.0,5.0,3.0
11,Sphere,2.992264428232795,2.9446621212147632,3.0,3.0,4.090917484739187,4.0,2.7304863929748535,3.0,3000.0,5.0,3.0
12,Sphere,2.988131089695877,2.867123698491743,3.0,3.0,3.920261071561862,4.0,3.0849976539611816,3.0,3500.0,5.0,3.0
13,Sphere,4.6294824571241096,5.170996252217492,5.0,6.0,6.0108364518363935,6.0,5.2331671714782715,5.0,100.0,10.0,5.0
