Dataset,MLE,GeoMLE,MIND,DANCo,ESS,PCA,CD,Hein,Num,Dim,RealDim
0,Sphere,2.0015344020620733,2.032065617139593,2.0,2.0,3.0042257265696284,3.0,2.151404619216919,2.0,1000.0,100.0,2.0
1,Sphere,5.7154126507008645,6.112087885291609,6.0,7.0,7.033272821594434,7.0,6.442838191986084,6.0,1000.0,100.0,6.0
2,Sphere,8.609908187607987,9.391910113060847,9.0,11.0,11.227117856047068,11.0,8.308697700500488,9.0,1000.0,100.0,10.0
3,Sphere,11.540452556649772,13.49581553991827,12.0,15.0,14.991712731701865,15.0,12.328519821166992,12.0,1000.0,100.0,14.0
4,Sphere,14.0889409480586,18.77524457688089,15.0,19.0,18.915378889810814,19.0,16.249725341796875,15.0,1000.0,100.0,18.0
5,Sphere,16.081977564475192,23.53629269099931,17.0,23.0,23.36016697231453,23.0,17.02670669555664,19.0,1000.0,100.0,22.0
6,Sphere,18.395892674233504,27.237788482258214,20.0,26.0,27.794480343560817,27.0,21.91115951538086,23.0,1000.0,100.0,26.0
7,Sphere,20.21053060887792,33.5905924532224,21.0,30.0,30.88348906283349,31.0,21.299259185791016,22.0,1000.0,100.0,30.0
8,Sphere,22.297880407768382,34.62830158765234,23.0,35.0,34.770621335096315,35.0,23.422861099243164,23.0,1000.0,100.0,34.0
9,Sphere,23.601738200145835,39.56566769263377,25.0,38.0,38.96906239002641,39.0,24.77794647216797,29.0,1000.0,100.0,38.0
10,Sphere,25.29059126268501,44.50030303088851,26.0,42.0,42.82246042388029,43.0,26.448368072509766,28.0,1000.0,100.0,42.0
11,Sphere,27.775889466509526,49.423120489360954,29.0,48.0,48.34796077159164,47.0,32.077457427978516,34.0,1000.0,100.0,46.0
12,Sphere,28.619677130481637,50.671330393559465,30.0,50.0,50.115822798370154,51.0,33.45722579956055,33.0,1000.0,100.0,50.0
13,Sphere,30.73138982555615,59.158926260719745,32.0,55.0,53.33450037330934,55.0,32.358863830566406,35.0,1000.0,100.0,54.0
14,Sphere,31.340400097103362,57.51885022951184,33.0,58.0,58.90954384692953,59.0,33.35368728637695,35.0,1000.0,100.0,58.0
15,Sphere,33.67871878225848,69.72849231573419,35.0,62.0,63.91016689881453,63.0,35.30409240722656,39.0,1000.0,100.0,62.0
16,Sphere,34.73666317336721,65.95187877092611,36.0,65.0,66.18991202432241,67.0,37.64620590209961,41.0,1000.0,100.0,66.0
17,Sphere,35.97220171470452,71.98554159558503,38.0,69.0,72.55046707770094,71.0,38.133506774902344,40.0,1000.0,100.0,70.0
18,Sphere,36.85260663280893,72.48245173892631,39.0,74.0,73.61048072173186,75.0,41.474246978759766,43.0,1000.0,100.0,74.0
19,Sphere,38.134527732788435,81.31493907659937,40.0,78.0,82.6048638529036,79.0,42.2425537109375,46.0,1000.0,100.0,78.0
20,Sphere,39.78364851518469,78.8405934100302,42.0,81.0,80.90801728656457,83.0,46.53775405883789,49.0,1000.0,100.0,82.0
21,Sphere,40.35704448043421,84.8725808079647,43.0,86.0,85.87698254152963,87.0,46.6569938659668,50.0,1000.0,100.0,86.0
22,Sphere,42.900536585439255,88.94583040854609,46.0,94.0,88.82222268456667,91.0,45.891448974609375,50.0,1000.0,100.0,90.0
23,Sphere,43.3835135676546,92.52210939063008,46.0,94.0,93.21314205376245,95.0,49.323856353759766,53.0,1000.0,100.0,94.0
24,Sphere,44.41544963831204,95.79226855585567,47.0,97.0,95.35734248066684,99.0,47.64625930786133,51.0,1000.0,100.0,98.0
25,Sphere,2.0126355528882645,2.0295210726953394,2.0,2.0,2.999132973457156,3.0,1.995337724685669,2.0,1000.0,100.0,2.0
26,Sphere,5.801665063904656,6.172345322259738,6.0,8.0,6.990151707864137,7.0,5.9833903312683105,6.0,1000.0,100.0,6.0
27,Sphere,8.856916777736831,9.821870212843551,9.0,11.0,11.00916729713329,11.0,9.51855182647705,10.0,1000.0,100.0,10.0
28,Sphere,11.521484470462811,14.981479448719371,12.0,15.0,14.861269613668341,15.0,12.209893226623535,13.0,1000.0,100.0,14.0
29,Sphere,14.353051238361411,18.490103519234147,15.0,19.0,18.445965052672417,19.0,14.878902435302734,15.0,1000.0,100.0,18.0
30,Sphere,16.63304339427529,24.513681862740068,17.0,23.0,22.9412191000862,23.0,15.564824104309082,18.0,1000.0,100.0,22.0
31,Sphere,18.768517966798086,27.67256626773133,19.0,27.0,26.822756870919438,27.0,19.322219848632812,20.0,1000.0,100.0,26.0
32,Sphere,20.42866177335097,32.72886197373171,21.0,31.0,30.31285911316523,31.0,23.573518753051758,25.0,1000.0,100.0,30.0
33,Sphere,21.64323039347011,33.75667430872135,23.0,34.0,34.92247035267717,35.0,25.15806770324707,26.0,1000.0,100.0,34.0
34,Sphere,23.426579544242472,41.786617822287674,24.0,38.0,39.98366705442485,39.0,24.9749813079834,27.0,1000.0,100.0,38.0
35,Sphere,26.098117354331336,43.72726243020802,27.0,42.0,43.94090335163132,43.0,28.265811920166016,28.0,1000.0,100.0,42.0
