Dataset,MLE,GeoMLE,MIND,DANCo,ESS,PCA,CD,Hein,Num,Dim,RealDim
0,Sphere,0.11317324638366699,0.3649890422821045,0.0015823841094970703,0.40045762062072754,0.2119736671447754,0.0005757808685302734,0.0013611316680908203,0.0013186931610107422,100.0,11.0,10.0
1,Sphere,0.15023565292358398,0.9636478424072266,0.006159067153930664,1.1045117378234863,0.2153332233428955,0.0008172988891601562,0.009205341339111328,0.009068965911865234,300.0,11.0,10.0
2,Sphere,0.19481372833251953,1.5780599117279053,0.014410257339477539,2.102665901184082,0.2596297264099121,0.0008749961853027344,0.022918701171875,0.022255659103393555,500.0,11.0,10.0
3,Sphere,0.23746442794799805,2.182563543319702,0.025428295135498047,2.97940731048584,0.26300764083862305,0.0009958744049072266,0.04362368583679199,0.04206681251525879,700.0,11.0,10.0
4,Sphere,0.28403711318969727,2.872276544570923,0.04430532455444336,3.3115642070770264,0.2522714138031006,0.0011076927185058594,0.06899213790893555,0.06795120239257812,900.0,11.0,10.0
5,Sphere,0.3061537742614746,3.23974871635437,0.05576300621032715,3.6733851432800293,0.27547788619995117,0.0011608600616455078,0.09221506118774414,0.08925032615661621,1000.0,11.0,10.0
6,Sphere,0.36522483825683594,4.013742446899414,0.07916975021362305,5.14805269241333,0.2937126159667969,0.0013301372528076172,0.13192129135131836,0.12925434112548828,1250.0,11.0,10.0
7,Sphere,0.4274888038635254,5.123426675796509,0.1048898696899414,5.767466068267822,0.3551952838897705,0.0014979839324951172,0.19962835311889648,0.19277238845825195,1500.0,11.0,10.0
8,Sphere,0.4878873825073242,6.064681529998779,0.1329028606414795,6.764524698257446,0.38872838020324707,0.0017282962799072266,0.2694969177246094,0.26139140129089355,1750.0,11.0,10.0
9,Sphere,0.5562465190887451,7.012656927108765,0.17031550407409668,7.735344886779785,0.4687662124633789,0.0018143653869628906,0.3423488140106201,0.34380245208740234,2000.0,11.0,10.0
10,Sphere,0.7115044593811035,8.857511758804321,0.24585437774658203,11.081872940063477,0.6363697052001953,0.002273082733154297,0.505138635635376,0.49216485023498535,2500.0,11.0,10.0
11,Sphere,0.8825869560241699,11.008182764053345,0.34992051124572754,12.144685983657837,0.7655761241912842,0.0024759769439697266,0.7145922183990479,0.7192199230194092,3000.0,11.0,10.0
12,Sphere,1.0243780612945557,13.725120544433594,0.4269111156463623,13.944133043289185,0.9894297122955322,0.002767801284790039,1.0254063606262207,1.023526906967163,3500.0,11.0,10.0
13,Sphere,1.2116117477416992,16.588083028793335,0.5176501274108887,16.205432176589966,1.2813680171966553,0.003045320510864258,1.3282313346862793,1.3289496898651123,4000.0,11.0,10.0
14,Sphere,1.435976505279541,18.65252947807312,0.6601321697235107,19.84758734703064,1.4950039386749268,0.003355264663696289,1.5521132946014404,1.5465223789215088,4500.0,11.0,10.0
15,Sphere,1.638275146484375,21.30244255065918,0.7625997066497803,22.110502004623413,1.7280597686767578,0.0036330223083496094,1.9146475791931152,1.9741582870483398,5000.0,11.0,10.0
16,Sphere,1.834146499633789,24.812110900878906,0.9383540153503418,23.138767957687378,2.0161221027374268,0.004201412200927734,2.3602054119110107,2.345489740371704,5500.0,11.0,10.0
17,Sphere,2.084186315536499,28.359933614730835,1.056316614151001,24.77372694015503,2.4932594299316406,0.004363298416137695,2.7474799156188965,2.7893214225769043,6000.0,11.0,10.0
18,Sphere,2.306622266769409,31.707642078399658,1.287381649017334,30.091853380203247,2.6777682304382324,0.004735231399536133,3.2532260417938232,3.2487056255340576,6500.0,11.0,10.0
19,Sphere,2.5694446563720703,35.670204401016235,1.4388628005981445,31.27197813987732,3.138061046600342,0.0052793025970458984,3.976423501968384,3.724605083465576,7000.0,11.0,10.0
20,Sphere,2.8361802101135254,38.959688663482666,1.4521946907043457,33.49942874908447,3.4437122344970703,0.0058596134185791016,4.535231113433838,4.565487384796143,7500.0,11.0,10.0
21,Sphere,3.2457973957061768,44.0169677734375,1.742049217224121,35.342620849609375,3.9738428592681885,0.005916118621826172,4.893080472946167,4.893279075622559,8000.0,11.0,10.0
22,Sphere,3.469247817993164,46.318469762802124,2.0126402378082275,40.509920835494995,4.294854640960693,0.006064176559448242,5.541255235671997,5.529805421829224,8500.0,11.0,10.0
23,Sphere,3.8401718139648438,51.232269525527954,2.106304168701172,40.63470673561096,4.878082990646362,0.0065381526947021484,6.227804660797119,6.362446069717407,9000.0,11.0,10.0
24,Sphere,4.2746741771698,56.02408194541931,2.36191463470459,41.388497829437256,5.659684419631958,0.006770610809326172,7.271498680114746,7.33414626121521,9500.0,11.0,10.0
25,Sphere,4.608039855957031,60.4814133644104,2.5418927669525146,43.61785936355591,6.2388763427734375,0.007899761199951172,7.5982506275177,7.459702253341675,10000.0,11.0,10.0
26,Sphere,0.12326312065124512,0.3439974784851074,0.001070261001586914,0.4065983295440674,0.21237921714782715,0.00048232078552246094,0.0013141632080078125,0.0012676715850830078,100.0,11.0,10.0
27,Sphere,0.16424894332885742,0.938093900680542,0.006341457366943359,1.0988292694091797,0.21988439559936523,0.0006265640258789062,0.008880853652954102,0.008729696273803711,300.0,11.0,10.0
28,Sphere,0.20989465713500977,1.6417827606201172,0.014893531799316406,1.8106930255889893,0.2327733039855957,0.0007638931274414062,0.022123098373413086,0.022558927536010742,500.0,11.0,10.0
29,Sphere,0.27057647705078125,2.349017381668091,0.02744579315185547,2.6114065647125244,0.23041749000549316,0.000881195068359375,0.042493581771850586,0.04203343391418457,700.0,11.0,10.0
30,Sphere,0.2914621829986572,2.892159938812256,0.041263580322265625,3.237565040588379,0.24884772300720215,0.0010750293731689453,0.06967782974243164,0.06834030151367188,900.0,11.0,10.0
31,Sphere,0.3342909812927246,3.3791048526763916,0.051378726959228516,3.669715642929077,0.25275444984436035,0.0010898113250732422,0.0848383903503418,0.08359837532043457,1000.0,11.0,10.0
32,Sphere,0.3838174343109131,4.22175669670105,0.07560586929321289,4.619331359863281,0.2781703472137451,0.001270294189453125,0.1295301914215088,0.1284794807434082,1250.0,11.0,10.0
33,Sphere,0.4144749641418457,4.722340106964111,0.09600067138671875,5.591338396072388,0.339677095413208,0.0014109611511230469,0.1834428310394287,0.18139290809631348,1500.0,11.0,10.0
34,Sphere,0.4981358051300049,6.189499855041504,0.1436147689819336,6.672152996063232,0.3446159362792969,0.001699686050415039,0.2579004764556885,0.2608797550201416,1750.0,11.0,10.0
35,Sphere,0.5958526134490967,6.878257989883423,0.16704678535461426,8.799522876739502,0.40778398513793945,0.0018193721771240234,0.3254969120025635,0.3260383605957031,2000.0,11.0,10.0
36,Sphere,0.7224631309509277,9.136110544204712,0.25306034088134766,9.505967378616333,0.5484428405761719,0.0021593570709228516,0.5174806118011475,0.5478453636169434,2500.0,11.0,10.0
37,Sphere,0.886805534362793,11.572660684585571,0.32042479515075684,12.151810646057129,0.6870863437652588,0.002357006072998047,0.7078497409820557,0.6983380317687988,3000.0,11.0,10.0
38,Sphere,1.0289101600646973,13.36404824256897,0.43857717514038086,15.284733533859253,0.9228677749633789,0.0027458667755126953,0.942194938659668,0.9389157295227051,3500.0,11.0,10.0
39,Sphere,1.250580072402954,16.023783683776855,0.49126410484313965,15.47307801246643,1.0857124328613281,0.003053426742553711,1.337881326675415,1.3271989822387695,4000.0,11.0,10.0
40,Sphere,1.4337172508239746,18.846980094909668,0.6768362522125244,20.137335538864136,1.3091883659362793,0.003388643264770508,1.5601134300231934,1.6581463813781738,4500.0,11.0,10.0
41,Sphere,1.6481349468231201,22.270114183425903,0.7701456546783447,20.649505853652954,1.618485927581787,0.004013538360595703,1.9721968173980713,1.9002366065979004,5000.0,11.0,10.0
42,Sphere,1.7770962715148926,24.067554473876953,0.9024245738983154,24.910748958587646,1.9952845573425293,0.0045015811920166016,2.3261802196502686,2.336623430252075,5500.0,11.0,10.0
43,Sphere,2.116126775741577,28.634373664855957,1.0042552947998047,25.556128978729248,2.469350814819336,0.0043866634368896484,2.979609966278076,2.849337577819824,6000.0,11.0,10.0
44,Sphere,2.3327338695526123,32.57656931877136,1.1071581840515137,27.432045221328735,2.565181255340576,0.004805803298950195,3.2212905883789062,3.243448257446289,6500.0,11.0,10.0
45,Sphere,2.6216483116149902,35.187684535980225,1.2970337867736816,31.722437858581543,2.863583564758301,0.005032777786254883,3.7408900260925293,3.7459826469421387,7000.0,11.0,10.0
46,Sphere,2.936652898788452,38.64520502090454,1.479177474975586,33.85604453086853,3.501433849334717,0.005280971527099609,4.225886106491089,4.22484564781189,7500.0,11.0,10.0
47,Sphere,3.259904623031616,43.59890055656433,1.7304723262786865,34.50237488746643,4.042974472045898,0.005819559097290039,4.804201602935791,4.792342901229858,8000.0,11.0,10.0
48,Sphere,3.4922289848327637,44.678093671798706,2.117969512939453,38.40620470046997,4.236581802368164,0.006243705749511719,5.5998430252075195,5.860056161880493,8500.0,11.0,10.0
49,Sphere,3.87246036529541,51.264567613601685,2.3372161388397217,40.38210344314575,4.995505332946777,0.006343364715576172,6.066380739212036,6.051586627960205,9000.0,11.0,10.0
50,Sphere,4.089311838150024,54.23712086677551,2.299204111099243,42.302682638168335,5.6012890338897705,0.007200002670288086,6.754602670669556,6.717816352844238,9500.0,11.0,10.0
51,Sphere,4.559831380844116,59.31320381164551,2.701148509979248,48.16551995277405,5.9234418869018555,0.007101535797119141,7.841402053833008,8.001487493515015,10000.0,11.0,10.0
52,Sphere,0.11246538162231445,0.33805322647094727,0.0010595321655273438,0.33763575553894043,0.20613336563110352,0.0004565715789794922,0.0011785030364990234,0.0012443065643310547,100.0,11.0,10.0
53,Sphere,0.17632579803466797,0.9973728656768799,0.005605220794677734,1.1019222736358643,0.2088785171508789,0.0006234645843505859,0.008721113204956055,0.008580684661865234,300.0,11.0,10.0
54,Sphere,0.21481990814208984,1.5977234840393066,0.016025781631469727,1.780818223953247,0.21592235565185547,0.0007596015930175781,0.023397207260131836,0.02281641960144043,500.0,11.0,10.0
55,Sphere,0.23972821235656738,2.1405134201049805,0.02698040008544922,2.5723042488098145,0.23761987686157227,0.0008552074432373047,0.0458683967590332,0.044898033142089844,700.0,11.0,10.0
56,Sphere,0.29343581199645996,2.8980860710144043,0.04628896713256836,3.320559024810791,0.22559332847595215,0.001062631607055664,0.07219433784484863,0.07172346115112305,900.0,11.0,10.0
57,Sphere,0.30260682106018066,3.0636823177337646,0.05152773857116699,3.7982265949249268,0.2603158950805664,0.0010809898376464844,0.09065937995910645,0.0894174575805664,1000.0,11.0,10.0
